class,left_elbow,right_elbow,left_shoulder,right_shoulder,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,left_arm_raise,right_arm_raise,torso_lean,lwrist_rel_x,lwrist_rel_y,lwrist_rel_z,rwrist_rel_x,rwrist_rel_y,rwrist_rel_z,lhand_rel_x,lhand_rel_y,rhand_rel_x,rhand_rel_y,lfoot_rel_x,lfoot_rel_y,rfoot_rel_x,rfoot_rel_y,shoulder_tilt,hip_tilt,stance_width,facing_direction
crown_thrust_correct,118.49525521569993,149.20553002432047,77.10825618494394,72.56087827163266,143.12229846783515,100.90660958152974,139.3600795559994,144.55188576782075,160.33082564049937,171.70906764472133,102.94058063617932,92.92143326732453,129.7218880466977,94.22711104569298,173.9601521619156,-0.21492571383714676,0.038184791803359985,-0.22710277140140533,-0.45428770780563354,0.09361156821250916,-0.056301865726709366,-0.21296636608894914,-0.45415760623291135,-0.5483783021336421,-0.522778854239732,-0.4362223580246791,0.7381560350768268,0.23440225573722273,0.6162160779349506,0.12489250302314758,0.021227923221886158,0.560902863740921,-0.3082444742321968
crown_thrust_correct,155.07728495122922,89.28020107297657,75.53187268398656,47.87737554613111,64.09182540635838,149.145370064856,151.05309061829067,169.17934646612667,166.51179438972724,135.930059075013,121.13174731005066,86.54471962953671,120.50417671670192,109.66255144810525,176.6428430294546,0.25832003355026245,0.03644382953643799,0.05724059045314789,0.188821230083704,0.10939735174179077,-0.1197630912065506,0.2842863667756319,-0.489639836945571,0.22031900472939014,-0.48644890228752047,0.3803223539143801,0.7334931310033426,-0.18998007290065289,0.6399326737737283,0.01651829481124878,0.008652338059619069,0.5198935270309448,0.22541511058807373
crown_thrust_correct,176.47520512034205,112.05430858782809,97.55447396270885,50.30362092846083,130.9310156876199,151.00528867280073,161.110516876839,135.25244939496037,159.0058167696504,145.06014233836837,114.84413750050437,99.57290940050754,125.75704403519636,122.59080897882207,170.35096130160858,0.43309810757637024,0.046932727098464966,0.10856950283050537,0.13299385458230972,0.11791238188743591,-0.3106078431010246,0.5977245280810166,-0.49979064578656107,0.227473230130272,-0.49225554580334574,-0.2863364806107711,0.6598278511082754,0.3914528796740342,0.7159915793454275,0.0029942989349365234,-0.010977906407788396,0.5898750424385071,0.21074721962213516
crown_thrust_correct,115.27048726913678,147.54573749988407,72.22495590948857,66.87679967310707,144.97713547363927,107.78946650874332,140.43497984603795,142.63179677097557,161.37969058854108,170.69997868577036,103.82618520272835,98.57057699817328,133.40349614151143,89.33656846007968,167.12602003994246,-0.1949862726032734,0.0816534161567688,-0.21916943788528442,-0.42568711936473846,0.19576603174209595,-0.0892886072397232,-0.2728761800099164,-0.40757365175522864,-0.6091158755589277,-0.394961308920756,-0.3494041033554822,0.7958486860152334,0.3486893705558032,0.5334249322768301,0.100839763879776,0.018378977198153734,0.5587129145860672,-0.31588082015514374
crown_thrust_correct,108.75156697690734,141.24292016281208,74.1571212549233,56.73839152867684,137.12167182993704,122.48171911231319,148.40751329367995,141.3877384290607,164.6670071145109,178.61665911714027,101.90983271032134,101.97977398629457,141.6279543071094,66.54539956976552,175.61998811776914,-0.1514725424349308,0.06190192699432373,-0.19523082673549652,-0.34664489328861237,0.1296139359474182,-0.23547548800706863,-0.16374278324656188,-0.449697665637359,-0.4166055198293179,-0.4998247546609491,-0.34646271425299346,0.7590773778501898,0.21392722171731293,0.6424568372312933,0.10786792635917664,0.00964814005419612,0.46258218586444855,-0.3326272815465927
crown_thrust_correct,172.21824857978694,108.91831821405854,105.28369538476016,49.77094859275401,137.06429631004988,153.93834876658912,168.5718508116226,129.309120700695,160.55847132291967,141.0986737872814,123.00702697884131,102.0876409935209,131.66920277847385,119.80732542756895,177.44087700787568,0.4295293539762497,-0.05364501476287842,0.09737902134656906,0.17123553529381752,0.0836438238620758,-0.3193126395344734,0.5379655156284571,-0.6386667082551867,0.19014904834330082,-0.557612199569121,-0.22371180914342403,0.7558904697652906,0.509983578696847,0.6167716791387647,-0.01822763681411743,-0.00425483426079154,0.6514711976051331,0.21333278715610504
crown_thrust_correct,170.3781316266148,80.68380325272898,94.1002763637539,38.15008799238142,110.06831871035021,161.26934368503206,168.78170183136018,144.71382874271248,165.3186064783846,145.22933755001876,122.96082483942584,98.15863208830885,125.39896566675606,107.74104348773432,174.15227446079408,0.3747982308268547,0.03340703248977661,0.0709179937839508,0.1164562925696373,0.1510164439678192,-0.14635130763053894,0.4831284310130286,-0.5317303391639143,0.1523491467742133,-0.46983627998270094,-0.24857446295936825,0.7601060417946428,0.28963020699302433,0.7576921132858843,-0.0024002790451049805,0.001093077939003706,0.47793273627758026,0.20336408913135529
crown_thrust_correct,171.56864283303344,114.48974184816167,100.94070905725265,47.44108547257551,126.29714414694278,146.46088932919574,164.14916625834644,131.8478201235825,160.26153226449276,138.18495288346352,121.354577783996,88.60520057353015,128.92284755716716,120.53602199282342,159.45083707966768,0.4125705063343048,0.11137744784355164,0.09311767667531967,0.11338257789611816,0.16022226214408875,-0.325363352894783,0.6854539893101901,-0.4123558880528435,0.32275269250385463,-0.4367218198021874,-0.4227349378634244,0.609837812022306,0.2304395220708102,0.7250215826788917,0.015827953815460205,-0.0032086006831377745,0.5730326771736145,0.20921852439641953
crown_thrust_correct,132.02240662566646,147.94384983306847,78.73909908156912,70.5746523477405,140.70013368714754,99.613355411414,137.92194398251476,139.63093100746224,159.98210673735548,171.51192298949044,103.22367913239043,92.79818086833065,130.58530887038017,91.42743381750797,174.7879877011683,-0.21278540417551994,0.04824364185333252,-0.24016883969306946,-0.43239808082580566,0.10104295611381531,-0.0862632766366005,-0.21661784243769944,-0.44205769896507263,-0.5227574307937175,-0.5098430216312408,-0.43125086021609604,0.7186812460422516,0.23160136747173965,0.6156063377857208,0.11310073733329773,0.014949481934309006,0.5580518245697021,-0.30766022205352783
crown_thrust_correct,165.27746359583958,99.05121119487094,103.41467611782254,48.26129195572826,136.1871384199497,164.61850807750494,162.62409136562215,120.46267324173185,151.47223193284492,132.59080973355364,119.57950232741898,105.2366093403378,125.6721507599285,107.12858103522395,159.13205434122486,0.43715760111808777,0.11966422200202942,-0.015261344611644745,0.17198757827281952,0.10514125227928162,-0.23843074589967728,0.734030402963981,-0.39171796559821814,0.3721665812190622,-0.49574559449683875,-0.38930162065662444,0.5647386062191799,0.32502380735240877,0.6975503313587978,0.017704695463180542,0.00025200354866683483,0.6050213426351547,0.20862897485494614
